aligned,lapvar,lpips,method,n_inliers,niqe,pair,psnr,scenario,ssim
True,13.50973465938516,0.2765871286392212,P3_fidelity_lg,40,5.186886071250608,pair_11,28.794274357058953,S1,0.8896695205042525
,1.5607942255222713,0.5178623795509338,Base_M1,,10.195518451853225,pair_01,25.361301666482902,S2,0.782424152138128
False,3.768241653204717,0.5091373920440674,B1_lanczos,0,8.996434069375288,pair_01,25.35099657717393,S2,0.7806313993993098
True,69.97592688851906,0.48027104139328003,B2_homog_alpha,23,4.700668248556435,pair_01,17.52854223260368,S2,0.6970916569983944
True,79.4092939524454,0.523368239402771,B3_affine_alpha,7,5.053832765755853,pair_01,17.174984518755466,S2,0.6824723402237396
True,79.4092939524454,0.523368239402771,V2_affine_only,7,5.053832765755853,pair_01,17.174984518755466,S2,0.6824723402237396
True,83.7508233337077,0.5255594253540039,V3_affine_flow,7,4.839468593353542,pair_01,17.155051723478195,S2,0.6807272683181118
True,373.70883084410093,0.6298648715019226,V4_affine_lab,7,5.528906268177846,pair_01,19.126884436055786,S2,0.6312444830580527
True,15.066012818012824,0.4949149489402771,V5_full_nopost,7,7.969493921654021,pair_01,25.30921043697616,S2,0.7738105131562297
True,334.11691535593525,0.6297163963317871,V5_full,7,5.548580832958445,pair_01,19.173105276986437,S2,0.6334469445526837
True,15.066012818012824,0.4949149489402771,P1_fidelity,7,7.969493921654021,pair_01,25.30921043697616,S2,0.7738105131562297
True,85.96479757881295,0.5166647434234619,P2_light_post,7,6.046095533183385,pair_01,21.827116199937663,S2,0.73319782646036
True,292.0384389952659,0.6102373600006104,A1_lightglue,28,5.546318719868559,pair_01,19.62345835104681,S2,0.650192334005643
True,421.96021666646783,0.6164926290512085,A2_raft,7,5.590905760436783,pair_01,19.187787513521116,S2,0.6339090479382902
True,326.1732878025637,0.6084794998168945,A3_learned,28,5.5250553158708025,pair_01,19.609072800651585,S2,0.6506321428630977
True,11.732716018152127,0.49671655893325806,P3_fidelity_lg,28,7.1433564295973,pair_01,25.328580165920144,S2,0.7758477555430241
,1.5421715866098291,0.4548630714416504,Base_M1,,9.802394008513678,pair_02,24.88538552479863,S2,0.8067109495612215
False,3.4001737517968365,0.4471539855003357,B1_lanczos,0,9.323804548288173,pair_02,24.876737906012202,S2,0.8050192969024065
True,62.21367550786833,0.3602530062198639,B2_homog_alpha,25,4.058767061068219,pair_02,19.182774841388987,S2,0.7439023592631269
True,57.602766613224276,0.47817426919937134,B3_affine_alpha,8,4.377978184487641,pair_02,16.55724961416254,S2,0.6835802786066614
True,57.602766613224276,0.47817426919937134,V2_affine_only,8,4.377978184487641,pair_02,16.55724961416254,S2,0.6835802786066614
True,66.39294742490556,0.48568132519721985,V3_affine_flow,8,3.9880583036118837,pair_02,16.52222328818102,S2,0.6811887527188502
True,277.9234150311757,0.6242435574531555,V4_affine_lab,8,4.987354046587655,pair_02,19.411702963421856,S2,0.653407952575166
True,11.919021738355942,0.4420098662376404,V5_full_nopost,8,7.4796222351079,pair_02,24.845587961650732,S2,0.7962650118827818
True,290.0588764777999,0.6232670545578003,V5_full,8,4.882120469748853,pair_02,19.419223871089876,S2,0.6549014951364306
True,11.919021738355942,0.4420098662376404,P1_fidelity,8,7.4796222351079,pair_02,24.845587961650732,S2,0.7962650118827818
True,71.32321090831788,0.4974290728569031,P2_light_post,8,5.45745185103021,pair_02,21.430287946191765,S2,0.7537507987328841
True,276.0304078973162,0.5948965549468994,A1_lightglue,35,5.36640984310438,pair_02,19.717273512989912,S2,0.6739315339763385
True,311.85354819525776,0.5869651436805725,A2_raft,8,5.205376900387053,pair_02,19.4587856146302,S2,0.6666166766860959
True,310.4248402206133,0.581990122795105,A3_learned,35,5.289936224302843,pair_02,19.685817836253175,S2,0.6752755754371335
True,10.713121812361807,0.4372711777687073,P3_fidelity_lg,35,7.1445095865112975,pair_02,24.8602647496628,S2,0.8000157697223793
,1.2617427074826395,0.4888317286968231,Base_M1,,11.406778015282999,pair_03,24.14982948069341,S2,0.8383008250381269
False,3.478422913732639,0.47627779841423035,B1_lanczos,0,9.464852528582599,pair_03,24.1422365399762,S2,0.8364900987328328
True,68.20912967352191,0.3965480923652649,B2_homog_alpha,10,6.378637407555545,pair_03,18.886132648362565,S2,0.7701825534672669
False,88.1654874992089,0.5822486877441406,B3_affine_alpha,0,6.383629985050765,pair_03,15.657765539893882,S2,0.723720197781097
False,88.1654874992089,0.5822486877441406,V2_affine_only,0,6.383629985050765,pair_03,15.657765539893882,S2,0.723720197781097
False,88.1654874992089,0.5822486877441406,V3_affine_flow,0,6.383629985050765,pair_03,15.657765539893882,S2,0.723720197781097
False,422.53405152017535,0.6358685493469238,V4_affine_lab,0,6.108786800524742,pair_03,20.509980898709866,S2,0.6581823662209956
False,18.521811976175933,0.49537554383277893,V5_full_nopost,0,7.531298967495948,pair_03,24.08569419221913,S2,0.8218136491550546
False,422.53405152017535,0.6358685493469238,V5_full,0,6.108786800524742,pair_03,20.509980898709866,S2,0.6581823662209956
False,18.521811976175933,0.49537554383277893,P1_fidelity,0,7.531298967495948,pair_03,24.08569419221913,S2,0.8218136491550546
False,110.63617603187389,0.5184531807899475,P2_light_post,0,5.698771720159452,pair_03,21.962207730227043,S2,0.7667264132242766
True,392.51511820523837,0.5728938579559326,A1_lightglue,20,6.183552640862386,pair_03,20.88074578365482,S2,0.690384946639554
False,422.53405152017535,0.6358685493469238,A2_raft,0,6.108786800524742,pair_03,20.509980898709866,S2,0.6581823662209956
True,399.09272441949827,0.5656346678733826,A3_learned,20,6.154411579628934,pair_03,20.765018586969653,S2,0.6869378656262811
True,18.264547916041664,0.45793086290359497,P3_fidelity_lg,20,6.58678861255333,pair_03,24.090456956916743,S2,0.8265508769764573
,1.2466973958330616,0.48526298999786377,Base_M1,,11.15843659328475,pair_04,24.432659555026124,S2,0.8418910747658385
False,3.5161869790882694,0.4739333987236023,B1_lanczos,0,9.347116856452635,pair_04,24.424679530941606,S2,0.83997393023512
True,10.702098436353904,0.48584291338920593,B2_homog_alpha,9,10.911911168384135,pair_04,23.917115259754233,S2,0.8391008724413932
False,93.29352186716035,0.5668783187866211,B3_affine_alpha,0,6.905865595723401,pair_04,16.11101976907991,S2,0.7349060677172273
False,93.29352186716035,0.5668783187866211,V2_affine_only,0,6.905865595723401,pair_04,16.11101976907991,S2,0.7349060677172273
False,93.29352186716035,0.5668783187866211,V3_affine_flow,0,6.905865595723401,pair_04,16.11101976907991,S2,0.7349060677172273
False,550.9170034700452,0.6361746788024902,V4_affine_lab,0,5.9270465334540585,pair_04,20.654077898220034,S2,0.6616777816291965
False,26.490746349368205,0.4840866029262543,V5_full_nopost,0,7.492885147834978,pair_04,24.341689292756108,S2,0.8223242029014669
False,550.9170034700452,0.6361746788024902,V5_full,0,5.9270465334540585,pair_04,20.654077898220034,S2,0.6616777816291965
False,26.490746349368205,0.4840866029262543,P1_fidelity,0,7.492885147834978,pair_04,24.341689292756108,S2,0.8223242029014669
False,147.5557093093359,0.5115947127342224,P2_light_post,0,5.5823219674494755,pair_04,22.180177430243088,S2,0.7690228658154257
True,423.4885958287489,0.560837984085083,A1_lightglue,21,6.026241516666898,pair_04,21.317058432798973,S2,0.703175198134861
